Journal	JournalFullName	ISSN	eISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
BEHAV BRAIN SCI	BEHAVIORAL AND BRAIN SCIENCES	0140-525X	1469-1825	8.118	8.8	11.276	14.25	17.312	8.73	10.625	7.125	9.885	14.964	17.462	12.818	19.045	21.952	25.056	18.571	14.962	20.771	20.415	14.2	15.071	17.194	17.333	12.579	21.357	29.3	29.3
J NEUROSCI	JOURNAL OF NEUROSCIENCE	0270-6474	1529-2401	7.915	8.403	8.955	8.502	8.178	8.045	8.306	7.907	7.506	7.453	7.49	7.452	7.178	7.271	7.115	6.908	6.747	6.344	5.924	5.988	5.97	6.074	5.673	6.167	6.709	5.3	5.3
J CLIN ONCOL	JOURNAL OF CLINICAL ONCOLOGY	0732-183X	1527-7755	7.878	8.228	7.963	8.773	8.53	9.868	10.864	9.835	11.81	13.598	15.484	17.157	17.793	18.97	18.372	18.038	17.96	18.443	20.982	24.008	26.303	28.245	32.956	44.544	50.717	45.3	45.3
CATAL REV	CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	0161-4940	1520-5703	7.87	8.85	6.056	6.562	8.471	6.455	5.708	8.0	5.312	9.222	6.333	5.625	7.765	7.0	7.5	6.375	6.875	8.471	7.526	6.143	6.6	9.0	11.389	20.217	13.6	10.9	10.9
REP PROG PHYS	REPORTS ON PROGRESS IN PHYSICS	0034-4885	1361-6633	7.667	6.2	7.054	9.0	8.879	7.618	8.409	7.842	8.893	9.549	11.366	12.09	11.444	13.857	14.72	13.232	15.633	17.062	12.933	14.311	14.257	16.62	17.032	17.264	17.802	18.1	18.1
STRUCTURE	STRUCTURE	0969-2126	1878-4186	7.633	7.85	6.903	6.903	6.903	6.03	5.993	5.185	5.543	5.738	5.231	5.397	5.904	6.337	6.347	5.994	6.794	5.618	5.237	4.945	4.907	4.576	4.862	5.006	5.871	5.7	5.7
CURR OPIN STRUC BIOL	CURRENT OPINION IN STRUCTURAL BIOLOGY	0959-440X	1879-033X	7.509	8.69	8.633	10.427	10.893	9.63	8.686	9.821	9.559	11.215	10.15	9.06	9.344	9.903	9.424	8.738	8.747	7.201	6.713	6.932	7.179	7.052	6.908	6.809	7.786	6.8	6.8
NAT BIOTECHNOL	NATURE BIOTECHNOLOGY	1087-0156	1546-1696	7.401	8.085	10.117	11.542	11.31	12.822	17.721	22.355	22.738	22.672	22.848	22.297	29.495	31.09	23.268	32.438	39.08	41.514	43.113	41.667	35.724	31.864	36.558	54.908	68.164	46.9	46.9
CURR OPIN NEUROBIOL	CURRENT OPINION IN NEUROBIOLOGY	0959-4388	1873-6882	7.356	8.854	9.287	9.277	9.995	10.718	9.727	7.937	8.527	9.286	8.958	8.102	7.211	6.891	7.444	7.335	6.765	6.628	6.373	6.133	6.541	6.014	6.267	6.627	7.07	5.7	5.7
FRONT NEUROENDOCRIN	FRONTIERS IN NEUROENDOCRINOLOGY	0091-3022	1095-6808	7.111	7.25	7.826	8.375	15.0	11.136	8.87	9.5	10.409	11.526	6.481	8.692	12.048	12.75	11.429	7.985	7.581	7.037	8.852	9.425	6.875	7.852	9.059	8.606	8.333	7.4	7.4
TRENDS PLANT SCI	TRENDS IN PLANT SCIENCE	1360-1385	1878-4372	7.071	8.735	9.35	9.637	10.36	12.414	13.405	11.833	9.701	8.0	8.995	9.21	9.883	10.095	11.047	11.808	13.479	12.929	10.899	11.911	12.149	14.006	14.416	18.313	22.012	20.5	20.5
PSYCHOL REV	PSYCHOLOGICAL REVIEW	0033-295X	1939-1471	7.06	8.239	6.803	6.069	5.756	6.75	8.357	7.145	7.986	8.825	7.803	11.765	9.082	7.784	7.756	9.797	7.719	7.972	7.581	7.638	7.23	6.266	6.857	8.934	8.247	5.4	5.4
BIOESSAYS	BIOESSAYS	0265-9247	1521-1878	7.053	7.58	7.649	7.906	8.314	7.888	6.491	6.43	6.787	5.965	5.402	5.316	5.125	4.479	4.954	5.423	4.927	4.73	4.725	4.441	4.419	4.396	4.627	4.345	4.653	4.0	4.0
PROG MATER SCI	PROGRESS IN MATERIALS SCIENCE	0079-6425	1873-2208	7.0	0.559	0.971	4.667	14.0	11.6	12.0	10.467	5.586	10.229	20.846	18.132	15.769	16.658	18.216	23.194	25.87	27.417	31.083	31.14	23.75	23.725	31.56	39.58	48.165	37.4	37.4
J BIOL CHEM	JOURNAL OF BIOLOGICAL CHEMISTRY	N/A	1083-351X	6.963	7.199	7.666	7.368	7.258	6.696	6.482	6.355	5.854	5.808	5.581	5.52	5.328	5.328	4.773	4.651	4.6	4.573	4.258	4.125	4.01	4.106	4.238	5.157	5.486	4.8	4.8
J IMMUNOL	JOURNAL OF IMMUNOLOGY	0022-1767	1550-6606	6.937	7.166	7.145	6.834	7.065	7.014	6.702	6.486	6.387	6.293	6.068	6.0	5.646	5.745	5.788	5.52	5.362	4.922	4.985	4.856	4.539	4.718	4.886	5.422	5.426	4.4	4.4
SURF SCI REP	SURFACE SCIENCE REPORTS	0167-5729	1879-274X	6.773	10.37	15.522	14.952	14.091	13.238	12.65	21.35	17.857	9.304	11.923	12.808	13.462	18.593	11.696	15.333	24.562	14.765	5.95	13.333	17.8	14.824	9.688	12.267	13.417	9.8	9.8
ONCOGENE	ONCOGENE	0950-9232	1476-5594	6.772	6.192	6.517	6.49	6.737	5.979	6.495	6.318	6.872	6.582	6.44	7.216	7.135	7.414	6.373	7.357	8.559	8.459	7.932	7.519	6.854	6.634	7.971	9.867	8.756	8.0	8.0
