Journal	JournalFullName	ISSN	2025IF	2025AI
ACTA MATH APPL SIN-E	ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES	0168-9673	0.9	0.324
ACTA MECH	ACTA MECHANICA	0001-5970	4.0	0.481
ACTA MECH AUTOMATICA	ACTA MECHANICA ET AUTOMATICA	1898-4088	1.3	0.148
ACTA MECH SINICA-PRC	ACTA MECHANICA SINICA	0567-7718	4.0	0.771
ACTA MECH SOLIDA SIN	ACTA MECHANICA SOLIDA SINICA	0894-9166	2.6	0.444
ACTA MED INDONES	ACTA MEDICA INDONESIANA	0125-9326	0.6	0.171
ACTA MED LITUANICA	ACTA MEDICA LITUANICA	1392-0138	0.6	0.0
ACTA MED OKAYAMA	ACTA MEDICA OKAYAMA	0386-300X	0.8	0.162
ACTA MEDICA PORT	ACTA MEDICA PORTUGUESA	0870-399X	1.2	0.223
ACTA MED-HIST ADRIAT	ACTA MEDICO-HISTORICA ADRIATICA	1334-4366	0.1	0.03
ACTA METALL SIN	ACTA METALLURGICA SINICA	0412-1961	2.2	0.338
ACTA METALL SIN-ENGL	ACTA METALLURGICA SINICA-ENGLISH LETTERS	1006-7191	4.2	0.593
ACTA METALL SLOVACA	ACTA METALLURGICA SLOVACA	1335-1532	1.7	0.133
ACTA MICROBIOL IMM H	ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA	1217-8950	1.5	0.283
ACTA MONTAN SLOVACA	ACTA MONTANISTICA SLOVACA	1335-1788	0.7	0.22
ACTA NATURAE	ACTA NATURAE	2075-8251	1.5	0.459
ACTA NEOPHILOL	ACTA NEOPHILOLOGICA	0567-784X	0.1	0.112
ACTA NEUROBIOL EXP	ACTA NEUROBIOLOGIAE EXPERIMENTALIS	0065-1400	1.9	0.301
ACTA NEUROCHIR	ACTA NEUROCHIRURGICA	0001-6268	1.9	0.6
ACTA NEUROL BELG	ACTA NEUROLOGICA BELGICA	0300-9009	2.0	0.572
ACTA NEUROL SCAND	ACTA NEUROLOGICA SCANDINAVICA	0001-6314	1.1	0.828
ACTA NEUROPATHOL	ACTA NEUROPATHOLOGICA	0001-6322	10.3	4.036
ACTA NEUROPATHOL COM	ACTA NEUROPATHOLOGICA COMMUNICATIONS	2051-5960	6.5	2.297
ACTA NEUROPSYCHIATR	ACTA NEUROPSYCHIATRICA	0924-2708	2.4	0.687
ACTA NEUROPSYCHOL	ACTA NEUROPSYCHOLOGICA	1730-7503	1.2	0.122
ACTA NUMER	ACTA NUMERICA	0962-4929	12.8	11.965
ACTA OBSTET GYN SCAN	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	0001-6349	3.5	1.133
ACTA OCEANOL SIN	ACTA OCEANOLOGICA SINICA	0253-505X	1.4	0.363
ACTA ODONTOL SCAND	ACTA ODONTOLOGICA SCANDINAVICA	0001-6357	1.7	0.382
ACTA OECOL	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	1146-609X	1.8	0.402
ACTA OECON	ACTA OECONOMICA	0001-6373	0.4	0.091
ACTA BIOENG BIOMECH	ACTA OF BIOENGINEERING AND BIOMECHANICS	1509-409X	1.0	0.207
ACTA ONCOL	ACTA ONCOLOGICA	0284-186X	2.7	0.829
ACTA OPHTHALMOL	ACTA OPHTHALMOLOGICA	1755-375X	3.0	0.876
ACTA OPT SIN	ACTA OPTICA SINICA	0253-2239	1.7	0.1
ACTA ORIENT ACAD SCI	ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE	1588-2667	0.2	0.256
ACTA ORNITHOL	ACTA ORNITHOLOGICA	0001-6454	1.2	0.306
ACTA ORTHOP	ACTA ORTHOPAEDICA	1745-3674	3.4	0.988
ACTA ORTHOP BELG	ACTA ORTHOPAEDICA BELGICA	0001-6462	0.7	0.199
ACTA ORTHOP TRAUMATO	ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA	1017-995X	1.7	0.335
ACTA ORTOP BRAS	ACTA ORTOPEDICA BRASILEIRA	1413-7852	0.6	0.207
ACTA OTO-LARYNGOL	ACTA OTO-LARYNGOLOGICA	0001-6489	1.3	0.32
ACTA OTO-LARYNGOL CA	ACTA OTO-LARYNGOLOGICA CASE REPORTS	2377-2484	0.2	0.067
ACTA OTORHINOLARYNGO	ACTA OTORHINOLARYNGOLOGICA ITALICA	0392-100X	2.2	0.577
ACTA OTORRINOLAR ESP	ACTA OTORRINOLARINGOLOGICA ESPANOLA	0001-6519	1.2	0.277
ACTA PAEDIATR	ACTA PAEDIATRICA	0803-5253	1.8	0.692
ACTA PALAEONTOL POL	ACTA PALAEONTOLOGICA POLONICA	0567-7920	1.8	0.574
ACTA PARASITOL	ACTA PARASITOLOGICA	1230-2821	1.5	0.31
ACTA PAUL ENFERM	ACTA PAULISTA DE ENFERMAGEM	0103-2100	0.9	0.249
ACTA PEDIATR MEX	ACTA PEDIATRICA DE MEXICO	0186-2391	0.2	0.021
ACTA PETROL SIN	ACTA PETROLOGICA SINICA	1000-0569	2.5	0.521
ACTA PHARMACEUT	ACTA PHARMACEUTICA	1330-0075	1.8	0.342
ACTA PHARM SIN B	ACTA PHARMACEUTICA SINICA B	2211-3835	14.6	2.981
ACTA PHARMACOL SIN	ACTA PHARMACOLOGICA SINICA	1671-4083	10.4	2.081
ACTA PHILOS	ACTA PHILOSOPHICA	1121-2179	0.2	0.099
ACTA PHLEBOL	ACTA PHLEBOLOGICA	1593-232X	0.2	0.033
ACTA PHOTONICA SINIC	ACTA PHOTONICA SINICA	1004-4213	0.7	0.065
ACTA PHYS POL A	ACTA PHYSICA POLONICA A	0587-4246	0.5	0.088
ACTA PHYS POL B	ACTA PHYSICA POLONICA B	0587-4254	1.0	0.156
ACTA PHYS SIN-CH ED	ACTA PHYSICA SINICA	1000-3290	1.0	0.131
ACTA PHYS-CHIM SIN	ACTA PHYSICO-CHIMICA SINICA	1000-6818	13.5	1.082
ACTA PHYSIOL PLANT	ACTA PHYSIOLOGIAE PLANTARUM	0137-5881	2.3	0.337
ACTA PHYSIOL	ACTA PHYSIOLOGICA	1748-1708	5.7	1.358
ACTA PHYTOTAX GEOBOT	ACTA PHYTOTAXONOMICA ET GEOBOTANICA	1346-7565	0.4	0.096
ACTA POETICA	ACTA POETICA	0185-3082	0.1	0.124
ACTA POLIT	ACTA POLITICA	0001-6810	1.9	0.966
ACTA POL HIST	ACTA POLONIAE HISTORICA	0001-6829	0.3	0.233
ACTA POL PHARM	ACTA POLONIAE PHARMACEUTICA	0001-6837	0.6	0.08
ACTA POLYM SIN	ACTA POLYMERICA SINICA	N/A	1.2	0.143
ACTA POLYTECH	ACTA POLYTECHNICA	N/A	0.7	0.097
ACTA POLYTECH HUNG	ACTA POLYTECHNICA HUNGARICA	1785-8860	2.2	0.146
ACTA PROTOZOOL	ACTA PROTOZOOLOGICA	0065-1583	0.8	0.251
ACTA PSIQUIAT PSICOL	ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA	0001-6896	0.1	0.005
ACTA PSYCHIAT SCAND	ACTA PSYCHIATRICA SCANDINAVICA	0001-690X	4.7	2.071
ACTA PSYCHOL	ACTA PSYCHOLOGICA	0001-6918	3.8	0.782
ACTA PSYCHOL SIN	ACTA PSYCHOLOGICA SINICA	0439-755X	1.9	0.509
ACTA RADIOL	ACTA RADIOLOGICA	0284-1851	1.2	0.32
ACTA RADIOL OPEN	ACTA RADIOLOGICA OPEN	N/A	0.9	0.293
ACTA SCI VET	ACTA SCIENTIAE VETERINARIAE	1678-0345	0.2	0.048
ACTA SCI MATH	ACTA SCIENTIARUM MATHEMATICARUM	0001-6969	0.7	0.326
ACTA SCI POL-FORM C	ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS	1644-0765	0.9	0.085
ACTA SCI POL-HORTORU	ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS	1644-0692	1.0	0.121
ACTA SCI POLON-TECHN	ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA	1644-0730	0.7	0.152
ACTA SCI-AGRON	ACTA SCIENTIARUM-AGRONOMY	1679-9275	1.2	0.174
ACTA SCI-HEALTH SCI	ACTA SCIENTIARUM-HEALTH SCIENCES	1679-9291	0.4	0.056
ACTA SCI-TECHNOL	ACTA SCIENTIARUM-TECHNOLOGY	1806-2563	0.6	0.101
ACTA SILVAE LIGNI	ACTA SILVAE ET LIGNI	2335-3112	0.3	0.066
ACTA SOC BOT POL	ACTA SOCIETATIS BOTANICORUM POLONIAE	0001-6977	1.1	0.24
ACTA SOCIOL	ACTA SOCIOLOGICA	0001-6993	2.1	0.827
ACTA STOMATOL CROAT	ACTA STOMATOLOGICA CROATICA	0001-7019	1.8	0.291
ACTA STRUCTILIA	ACTA STRUCTILIA	1023-0564	1.2	0.133
ACTA TECH NAPOC SER-	ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING	1221-5872	0.1	0.016
ACTA TECHNOL AGR	ACTA TECHNOLOGICA AGRICULTURAE	N/A	1.4	0.114
ACTA THEOL	ACTA THEOLOGICA	1015-8758	0.2	0.166
ACTA TROP	ACTA TROPICA	0001-706X	2.6	0.553
ACTA TURISTICA	ACTA TURISTICA	0353-4316	0.4	0.099
ACTA UNIV CAROL THEO	ACTA UNIVERSITATIS CAROLINAE THEOLOGICA	1804-5588	0.0	0.056
ACTA UL FOL LITT POL	ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA POLONICA	1505-9057	0.1	0.0
ACTA UL FOL LITT ROM	ACTA UNIVERSITATIS LODZIENSIS FOLIA LITTERARIA ROMANICA	1505-9065	0.0	0.0
ACTA U LODZ FOLIA AR	ACTA UNIVERSITATIS LODZIENSIS-FOLIA ARCHAEOLOGICA	0208-6034	0.0	0.0
ACTA U LODZ FOLIA LU	ACTA UNIVERSITATIS LODZIENSIS-FOLIA IURIDICA	0208-6069	0.1	0.0
ACTA U SAPIEN INFORM	ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA	1844-6086	0.7	0.094
ACTA U SAPIENTIAE-FI	ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES	2065-5924	0.2	0.194
ACTA U SAPIENTIAE-MA	ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA	1844-6094	0.6	0.166
ACTA VET BRNO	ACTA VETERINARIA BRNO	0001-7213	0.7	0.087
ACTA VET EURASIA	ACTA VETERINARIA EURASIA	2618-639X	0.6	0.095
ACTA VET HUNG	ACTA VETERINARIA HUNGARICA	0236-6290	1.0	0.186
ACTA VET SCAND	ACTA VETERINARIA SCANDINAVICA	0044-605X	2.0	0.412
ACTA VET-BEOGRAD	ACTA VETERINARIA-BEOGRAD	0567-8315	0.9	0.13
ACTA VIROL	ACTA VIROLOGICA	0001-723X	1.1	0.174
ACTA ZOOL-STOCKHOLM	ACTA ZOOLOGICA	0001-7272	1.1	0.264
ACTA ZOOL ACAD SCI H	ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE	1217-8837	0.9	0.193
ACTA ZOOL BULGAR	ACTA ZOOLOGICA BULGARICA	0324-0770	0.5	0.091
ACTAS DERMO-SIFILOGR	ACTAS DERMO-SIFILIOGRAFICAS	0001-7310	2.9	0.828
ACTAS ESP PSIQUIATRI	ACTAS ESPANOLAS DE PSIQUIATRIA	1139-9287	2.1	0.385
ACTAS UROL ESP	ACTAS UROLOGICAS ESPANOLAS	0210-4806	1.7	0.318
ACTES RECH SCI SOC	ACTES DE LA RECHERCHE EN SCIENCES SOCIALES	0335-5322	0.5	0.459
ACTION LEARN	ACTION LEARNING	1476-7333	0.0	0.139
ACTION RES-LONDON	ACTION RESEARCH	1476-7503	1.8	0.647
ACT PASSIV ELECTRON	ACTIVE AND PASSIVE ELECTRONIC COMPONENTS	0882-7516	1.6	0.164
ACT LEARN HIGH EDUC	ACTIVE LEARNING IN HIGHER EDUCATION	1469-7874	3.4	1.212
ACT NERV SUPER REDIV	ACTIVITAS NERVOSA SUPERIOR REDIVIVA	1337-933X	0.2	0.049
ACTIVITIES	ACTIVITES-REVUE ELECTRONIQUE	1765-2723	0.3	0.073
ACT ADAPT AGING	ACTIVITIES ADAPTATION & AGING	0192-4788	1.6	0.411
ACTUAL CONTAB FACES	ACTUALIDAD CONTABLE FACES	1316-8533	0.0	0.014
ACTUAL JURID AMBIENT	ACTUALIDAD JURIDICA AMBIENTAL	1989-5666	0.6	0.123
ACTUAL PSICOL	ACTUALIDADES EN PSICOLOGIA	0258-6444	0.2	0.115
ACTUAL PEDAGOG	ACTUALIDADES PEDAGOGICAS	0120-1700	0.0	0.028
ACTUAL PHARMACEUT	ACTUALITES PHARMACEUTIQUES	0515-3700	0.1	0.01
ACTUAL OSTEOL	ACTUALIZACIONES EN OSTEOLOGIA	1669-8975	0.0	0.01
ACTUATORS	ACTUATORS	N/A	2.4	0.383
ACUPUNCTURE ELECTRO	ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH	0360-1293	0.3	0.046
ACUPUNCT HERB MED	ACUPUNCTURE AND HERBAL MEDICINE	2097-0226	7.3	0.91
ACUPUNCT MED	ACUPUNCTURE IN MEDICINE	0964-5284	2.7	0.574
ACUTE CRIT CARE	ACUTE AND CRITICAL CARE	2586-6052	2.3	0.56
ACUTE MED SURG	ACUTE MEDICINE & SURGERY	2052-8817	1.4	0.368
AD HOC SENS WIREL NE	AD HOC & SENSOR WIRELESS NETWORKS	1551-9899	0.4	0.067
AD HOC NETW	AD HOC NETWORKS	1570-8705	5.4	0.787
ADALYA	ADALYA	1301-2746	0.3	0.237
ADANSONIA	ADANSONIA	1280-8571	0.8	0.171
ADAPTATION-UK	ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES	1755-0637	0.2	0.274
ADAPT PHYS ACT Q	ADAPTED PHYSICAL ACTIVITY QUARTERLY	0736-5829	2.6	0.525
ADAPT BEHAV	ADAPTIVE BEHAVIOR	1059-7123	1.6	0.535
ADAPT HUM BEHAV PHYS	ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY	2198-7335	1.6	0.555
ADCAIJ-ADV DISTRIB C	ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL	2255-2863	1.2	0.223
ADCOMUNICA	ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION	2174-0992	0.4	0.165
ADDICTA	ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS	2148-7286	0.7	0.149
ADDICTION	ADDICTION	0965-2140	5.9	2.207
ADDICT BIOL	ADDICTION BIOLOGY	1355-6215	2.6	0.882
ADDICT NEUROSCI	ADDICTION NEUROSCIENCE	N/A	2.4	0.891
ADDICT RES THEORY	ADDICTION RESEARCH & THEORY	1606-6359	2.9	0.747
ADDICT SCI CLIN PRAC	ADDICTION SCIENCE & CLINICAL PRACTICE	N/A	2.6	1.033
ADDICT BEHAV	ADDICTIVE BEHAVIORS	0306-4603	4.1	1.356
ADDICT BEHAV REP	ADDICTIVE BEHAVIORS REPORTS	N/A	3.3	0.0
ADDIT MANUF	ADDITIVE MANUFACTURING	2214-8604	11.3	2.141
ADDIT MANUF LETT	ADDITIVE MANUFACTURING LETTERS	2772-3690	5.2	1.069
ADEL LAW REV	ADELAIDE LAW REVIEW	0065-1915	0.3	0.12
ADICCIONES	ADICCIONES	0214-4840	1.2	0.369
ADIPOCYTE	ADIPOCYTE	2162-3945	3.3	0.822
ADMET DMPK	ADMET AND DMPK	1848-7718	5.1	0.654
AD-MINIST	AD-MINISTER	1692-0279	0.4	0.046
ADM PUBLICA GEST SOC	ADMINISTRACAO PUBLICA E GESTAO SOCIAL	2175-5787	0.2	0.053
ADMINISTRACAO	ADMINISTRACAO-ENSINO E PESQUISA	2177-6083	0.2	0.041
ADMINSTRATION	ADMINISTRATION	0001-8325	0.3	0.085
ADMIN SOC	ADMINISTRATION & SOCIETY	0095-3997	1.9	0.969
ADM POLICY MENT HLTH	ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH	0894-587X	2.6	1.028
ADMIN SCI QUART	ADMINISTRATIVE SCIENCE QUARTERLY	0001-8392	7.9	8.112
ADM SCI	ADMINISTRATIVE SCIENCES	N/A	3.9	0.529
ADOLES PSYCHIAT-NETH	ADOLESCENT PSYCHIATRY	2210-6766	0.3	0.202
ADOLESC RES REV	ADOLESCENT RESEARCH REVIEW	2363-8346	8.3	2.752
ADOLESCENTS-BASEL	ADOLESCENTS	N/A	1.7	0.338
ADOPT FOSTER	ADOPTION AND FOSTERING	0308-5759	1.0	0.278
ADOPT Q	ADOPTION QUARTERLY	1092-6755	1.1	0.214
ADSORPT SCI TECHNOL	ADSORPTION SCIENCE & TECHNOLOGY	0263-6174	2.5	0.36
ADSORPTION	ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY	0929-5607	3.3	0.543
ADULT EDUC QUART	ADULT EDUCATION QUARTERLY	0741-7136	1.6	0.536
ADULT LEARN	ADULT LEARNING	1045-1595	2.3	0.356
ADULTSPAN J	ADULTSPAN JOURNAL	1524-6817	0.6	0.207
ADV AGROCHEM	ADVANCED AGROCHEM	N/A	9.2	1.207
ADV BIOL-GER	ADVANCED BIOLOGY	2701-0198	3.2	0.842
ADV BIOMED ENG	ADVANCED BIOMEDICAL ENGINEERING	2187-5219	0.7	0.117
ADV BIOMED RES-INDIA	ADVANCED BIOMEDICAL RESEARCH	2277-9175	1.1	0.237
ADV BIOTECHNOL-SING	ADVANCED BIOTECHNOLOGY	N/A	8.8	1.587
ADV COMPOS MATER	ADVANCED COMPOSITE MATERIALS	0924-3046	2.7	0.335
ADV COMPOS HYBRID MA	ADVANCED COMPOSITES AND HYBRID MATERIALS	2522-0128	15.5	1.984
ADV DEVICE INSTRUM	ADVANCED DEVICES & INSTRUMENTATION	N/A	6.0	0.0
ADV DRUG DELIVER REV	ADVANCED DRUG DELIVERY REVIEWS	0169-409X	21.0	3.789
ADV EDUC	ADVANCED EDUCATION	2409-3351	0.7	0.107
ADV ELECTROMAGN	ADVANCED ELECTROMAGNETICS	2119-0275	1.2	0.15
ADV ELECTRON MATER	ADVANCED ELECTRONIC MATERIALS	2199-160X	5.9	1.134
ADV EMERG NURS J	ADVANCED EMERGENCY NURSING JOURNAL	1931-4485	0.6	0.212
ADV ENERG SUST RES	ADVANCED ENERGY AND SUSTAINABILITY RESEARCH	2699-9412	6.4	1.251
ADV ENERGY MATER	ADVANCED ENERGY MATERIALS	1614-6832	25.5	5.181
ADV ENG INFORM	ADVANCED ENGINEERING INFORMATICS	1474-0346	11.5	1.649
ADV ENG MATER	ADVANCED ENGINEERING MATERIALS	1438-1656	3.6	0.624
ADV FIBER MATER	ADVANCED FIBER MATERIALS	2524-7921	22.6	2.965
ADV FUNCT MATER	ADVANCED FUNCTIONAL MATERIALS	1616-301X	19.9	3.46
ADV HEALTHC MATER	ADVANCED HEALTHCARE MATERIALS	2192-2640	11.0	1.763
ADV IND ENG POLY RES	ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH	2542-5048	18.4	0.0
ADV INTELL SYST-GER	ADVANCED INTELLIGENT SYSTEMS	N/A	6.7	1.693
ADV MANUF-POLYM COMP	ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE	2055-0340	3.3	0.408
ADV MATER	ADVANCED MATERIALS	0935-9648	29.1	5.766
ADV MATER INTERFACES	ADVANCED MATERIALS INTERFACES	2196-7350	4.5	0.8
ADV MATER TECHNOL-US	ADVANCED MATERIALS TECHNOLOGIES	2365-709X	6.0	1.194
ADV MEMBR	ADVANCED MEMBRANES	N/A	12.6	1.794
ADV MODEL SIMUL ENG	ADVANCED MODELING AND SIMULATION IN ENGINEERING SCIENCES	N/A	4.1	0.0
ADV NANOBIOMED RES	ADVANCED NANOBIOMED RESEARCH	2699-9307	4.8	0.864
ADV NONLINEAR STUD	ADVANCED NONLINEAR STUDIES	1536-1365	2.3	1.433
ADV OPT MATER	ADVANCED OPTICAL MATERIALS	2195-1071	7.2	1.391
ADV OPT TECHNOL	ADVANCED OPTICAL TECHNOLOGIES	2192-8576	3.2	0.55
ADV PHARM BULL	ADVANCED PHARMACEUTICAL BULLETIN	2228-5881	4.7	0.722
ADV PHOTONICS	ADVANCED PHOTONICS	N/A	19.5	4.144
ADV PHOTON NEXUS	ADVANCED PHOTONICS NEXUS	2791-1519	6.3	1.401
ADV PHOTON RES	ADVANCED PHOTONICS RESEARCH	2699-9293	4.0	0.802
ADV PHYS RES-US	ADVANCED PHYSICS RESEARCH	2751-1200	3.4	0.761
ADV POWDER MATER	ADVANCED POWDER MATERIALS	N/A	26.8	3.815
ADV POWDER TECHNOL	ADVANCED POWDER TECHNOLOGY	0921-8831	4.5	0.623
ADV QUANTUM TECHNOL	ADVANCED QUANTUM TECHNOLOGIES	N/A	4.3	1.027
ADV ROBOTICS	ADVANCED ROBOTICS	0169-1864	1.7	0.359
ADV SCI	ADVANCED SCIENCE	N/A	14.1	3.004
ADV SENS ENERGY MAT	ADVANCED SENSOR AND ENERGY MATERIALS	N/A	12.3	1.28
ADV SENSOR RES	ADVANCED SENSOR RESEARCH	2751-1219	5.0	0.747
ADV STEEL CONSTR	ADVANCED STEEL CONSTRUCTION	1816-112X	1.4	0.189
ADV STUD EURO TBILIS	ADVANCED STUDIES-EURO-TBILISI MATHEMATICAL JOURNAL	N/A	0.4	0.121
ADV SUSTAIN SYST	ADVANCED SUSTAINABLE SYSTEMS	2366-7486	5.6	0.909
ADV SYNTH CATAL	ADVANCED SYNTHESIS & CATALYSIS	1615-4150	3.7	0.615
ADV THEOR SIMUL	ADVANCED THEORY AND SIMULATIONS	N/A	3.2	0.53
ADV THER-GERMANY	ADVANCED THERAPEUTICS	N/A	3.2	0.644
ADV MICROBIOL-NY	ADVANCEMENTS OF MICROBIOLOGY	0079-4252	0.7	0.119
ADV APPL DISCRET MAT	ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS	0974-1658	0.4	0.067
ADV APPL STAT	ADVANCES AND APPLICATIONS IN STATISTICS	0972-3617	0.3	0.034
ADV ACCOUNT	ADVANCES IN ACCOUNTING	0882-6110	1.1	0.277
ADV AERODYNAM	ADVANCES IN AERODYNAMICS	2097-3462	3.2	0.808
ADV AGR	ADVANCES IN AGRICULTURE	2356-654X	3.4	0.482
ADV AIRCR SPACECR SC	ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE	2287-528X	0.7	0.089
ADV ANAT PATHOL	ADVANCES IN ANATOMIC PATHOLOGY	1072-4109	2.8	1.34
ADV APPL CERAM	ADVANCES IN APPLIED CERAMICS	1743-6753	1.6	0.318
ADV APPL CLIFFORD AL	ADVANCES IN APPLIED CLIFFORD ALGEBRAS	0188-7009	1.0	0.289
ADV APPL ENERGY	ADVANCES IN APPLIED ENERGY	2666-7924	18.3	3.421
ADV APPL MATH	ADVANCES IN APPLIED MATHEMATICS	0196-8858	1.2	0.813
ADV APPL MATH MECH	ADVANCES IN APPLIED MATHEMATICS AND MECHANICS	2070-0733	0.8	0.239
ADV APPL PROBAB	ADVANCES IN APPLIED PROBABILITY	0001-8678	1.0	0.759
ADV ARCHAEOL PRACT	ADVANCES IN ARCHAEOLOGICAL PRACTICE	2326-3768	1.8	0.421
ADV ARTIF INTELL MAC	ADVANCES IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	N/A	0.8	0.132
ADV ASTRON	ADVANCES IN ASTRONOMY	1687-7969	0.9	0.262
ADV ATMOS SCI	ADVANCES IN ATMOSPHERIC SCIENCES	0256-1530	5.0	1.714
ADV AUTISM	ADVANCES IN AUTISM	2056-3868	1.0	0.407
ADV BAMBOO SCI	ADVANCES IN BAMBOO SCIENCE	N/A	3.9	0.382
ADV BIOL REGUL	ADVANCES IN BIOLOGICAL REGULATION	2212-4926	2.7	0.0
ADV BRIDGE ENG	ADVANCES IN BRIDGE ENGINEERING	N/A	2.4	0.446
ADV BUILD ENERGY RES	ADVANCES IN BUILDING ENERGY RESEARCH	1751-2549	2.7	0.389
ADV CALC VAR	ADVANCES IN CALCULUS OF VARIATIONS	1864-8258	1.5	1.164
ADV CANCER BIOL-MET	ADVANCES IN CANCER BIOLOGY-METASTASIS	N/A	4.2	0.565
ADV CEM RES	ADVANCES IN CEMENT RESEARCH	0951-7197	2.3	0.405
ADV CIV ARCHIT ENG	ADVANCES IN CIVIL AND ARCHITECTURAL ENGINEERING	2975-3848	0.9	0.115
ADV CIV ENG	ADVANCES IN CIVIL ENGINEERING	1687-8086	1.8	0.313
ADV CIV ENG MATER	ADVANCES IN CIVIL ENGINEERING MATERIALS	2379-1357	1.6	0.222
ADV CLIM CHANG RES	ADVANCES IN CLIMATE CHANGE RESEARCH	1674-9278	5.6	1.52
ADV CLIN EXP MED	ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE	1899-5276	2.5	0.442
ADV COGN PSYCHOL	ADVANCES IN COGNITIVE PSYCHOLOGY	1895-1171	0.9	0.347
ADV COLLOID INTERFAC	ADVANCES IN COLLOID AND INTERFACE SCIENCE	0001-8686	23.7	3.133
ADV COMPLEX SYST	ADVANCES IN COMPLEX SYSTEMS	0219-5259	1.1	0.255
ADV COMPUT DES	ADVANCES IN COMPUTATIONAL DESIGN, AN INTERNATIONAL JOURNAL	2383-8477	0.7	0.095
ADV COMPUT MATH	ADVANCES IN COMPUTATIONAL MATHEMATICS	1019-7168	2.6	0.952
ADV CONCR CONSTR	ADVANCES IN CONCRETE CONSTRUCTION	2287-5301	1.7	0.175
ADV COND MATTER PHYS	ADVANCES IN CONDENSED MATTER PHYSICS	1687-8108	3.1	0.286
ADV CONTIN DISCRET M	ADVANCES IN CONTINUOUS AND DISCRETE MODELS	N/A	1.6	0.412
ADV DATA ANAL CLASSI	ADVANCES IN DATA ANALYSIS AND CLASSIFICATION	1862-5347	2.1	0.776
ADV DATA SCI ADAPT	ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS	2424-922X	0.6	0.159
ADV DEV HUM RESOUR	ADVANCES IN DEVELOPING HUMAN RESOURCES	1523-4223	2.1	0.571
ADV DIFFERENTIAL EQU	ADVANCES IN DIFFERENTIAL EQUATIONS	1079-9389	1.4	0.795
ADV DIFFER EQU CONTR	ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES	0974-3243	1.2	0.082
ADV DIG MED	ADVANCES IN DIGESTIVE MEDICINE	2351-9797	0.5	0.073
ADV DUAL DIAGN	ADVANCES IN DUAL DIAGNOSIS	1757-0972	0.7	0.17
ADV ELECTR COMPUT EN	ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING	1582-7445	0.9	0.095
ADV ELECTR ELECTRON	ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING	1336-1376	1.3	0.16
ADV ENERGY RES	ADVANCES IN ENERGY RESEARCH	2287-6316	2.0	0.081
ADV ENG SOFTW	ADVANCES IN ENGINEERING SOFTWARE	0965-9978	6.3	0.948
AD ENVIRON RES	ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL	2234-1722	0.5	0.062
ADV FUZZY SYST	ADVANCES IN FUZZY SYSTEMS	1687-7101	1.9	0.251
ADV GEODES GEOINFORM	ADVANCES IN GEODESY AND GEOINFORMATION	2720-7242	0.6	0.082
ADV GEO-ENERGY RES	ADVANCES IN GEO-ENERGY RESEARCH	2207-9963	11.2	1.443
ADV GEOM	ADVANCES IN GEOMETRY	1615-715X	0.8	0.509
