Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
J POST KEYNESIAN EC	JOURNAL OF POST KEYNESIAN ECONOMICS	0160-3477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.203	0.19	0.21	0.195	0.446	0.327	0.327
J AUST POLIT ECON	JOURNAL OF AUSTRALIAN POLITICAL ECONOMY	0156-5826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.256	0.115	0.108	0.188	0.244	0.47	0.47
REV NETW ECON	REVIEW OF NETWORK ECONOMICS	2194-5993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.399	0.609	0.663	0.281	0.41	0.11	0.11
SOCIETY	SOCIETY	0147-2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.198	0.146	0.146	0.194	0.297	0.342	0.342
Z ARB ORGAN	ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE	0932-4089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.085	0.072	0.124	0.207	0.269	0.269
Z DIALEKTOL LINGUIST	ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK	0044-1449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.035	0.034	0.035	0.181	0.375	0.375
CAN J ECON	CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE	0008-4085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.745	0.693	0.76	0.951	0.724	0.901	0.901
EURE	EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES	0250-7161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.182	0.141	0.264	0.514	0.594	0.594
ASIA-PAC J FINANC ST	ASIA-PACIFIC JOURNAL OF FINANCIAL STUDIES	2041-9945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.099	0.145	0.137	0.211	0.392	0.392
REV INT SOCIOL	REVISTA INTERNACIONAL DE SOCIOLOGIA	0034-9712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.187	0.11	0.159	0.444	0.417	0.417
J HIST ECON THOUGHT	JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT	1053-8372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.302	0.0	0.425	0.349	0.539	0.59	0.59
SOC SCI INFORM	SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES	0539-0184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.273	0.256	0.257	0.232	0.394	0.446	0.446
S AFR J HUM RIGHTS	SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS	0258-7203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.048	0.075	0.103	0.209	0.314	0.314
CULT ORGAN	CULTURE AND ORGANIZATION	1475-9551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.217	0.193	0.188	0.287	0.482	0.639	0.639
JPN WORLD ECON	JAPAN AND THE WORLD ECONOMY	0922-1425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.335	0.261	0.265	0.311	0.442	0.442
SWISS J PSYCHOL	SWISS JOURNAL OF PSYCHOLOGY	1421-0185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.302	0.213	0.25	0.321	0.346	0.326	0.326
LAT AM PERSPECT	LATIN AMERICAN PERSPECTIVES	0094-582X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.237	0.305	0.357	0.249	0.569	0.634	0.634
J ECON EDUC	JOURNAL OF ECONOMIC EDUCATION	0022-0485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.33	0.143	0.188	0.328	0.299	0.299
RATION SOC	RATIONALITY AND SOCIETY	1043-4631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.449	0.572	0.643	0.571	0.428	0.428
ELECTRON LIBR	ELECTRONIC LIBRARY	0264-0473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.118	0.124	0.116	0.278	0.292	0.292
J DEV EFFECT	JOURNAL OF DEVELOPMENT EFFECTIVENESS	1943-9342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.513	0.596	0.629	0.846	0.73	0.79	0.79
LIBR RESOUR TECH SER	LIBRARY RESOURCES & TECHNICAL SERVICES	0024-2527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.074	0.132	0.188	0.256	0.18	0.18
SOC SEMIOT	SOCIAL SEMIOTICS	1035-0330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293	0.202	0.396	0.367	0.707	0.704	0.704
AUST ECON HIST REV	AUSTRALIAN ECONOMIC HISTORY REVIEW	0004-8992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.306	0.234	0.276	0.22	0.42	0.456	0.456
DEV ECON	DEVELOPING ECONOMIES	0012-1533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.294	0.189	0.217	0.205	0.395	0.28	0.28
EUR J LAW ECON	EUROPEAN JOURNAL OF LAW AND ECONOMICS	0929-1261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.159	0.239	0.191	0.443	0.417	0.417
TEACH SOCIOL	TEACHING SOCIOLOGY	0092-055X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.104	0.131	0.128	0.197	0.304	0.304
ECON TRANSIT	ECONOMICS OF TRANSITION	0967-0750	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.452	0.28	0.33	0.321	0.374	0.398	0.398
APPL ECON LETT	APPLIED ECONOMICS LETTERS	1350-4851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.176	0.19	0.206	0.301	0.292	0.292
J ASIA PAC ECON	JOURNAL OF THE ASIA PACIFIC ECONOMY	1354-7860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186	0.161	0.142	0.234	0.275	0.346	0.346
J LANG IDENTITY EDUC	JOURNAL OF LANGUAGE IDENTITY AND EDUCATION	1534-8458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.204	0.472	0.412	0.832	0.765	0.765
FUNCT LANG	FUNCTIONS OF LANGUAGE	0929-998X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.233	0.331	0.35	0.499	0.403	0.403
J CONSTR PSYCHOL	JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY	1072-0537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.135	0.188	0.168	0.183	0.263	0.191	0.191
KOLNER Z SOZIOL SOZ	KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE	0023-2653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.262	0.274	0.365	0.644	0.647	0.647
PRAGMAT COGN	PRAGMATICS & COGNITION	0929-0907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.283	0.172	0.169	0.202	0.388	0.338	0.338
J INT TRADE ECON DEV	JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT	0963-8199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.123	0.154	0.23	0.326	0.342	0.342
METROECONOMICA	METROECONOMICA	0026-1386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.321	0.349	0.288	0.251	0.519	0.308	0.308
DEV SO AFR	DEVELOPMENT SOUTHERN AFRICA	0376-835X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.246	0.255	0.201	0.37	0.359	0.359
J HOMEL SECUR EMERG	JOURNAL OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT	2194-6361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.165	0.18	0.156	0.305	0.261	0.261
BRIT J RELIG EDUC	BRITISH JOURNAL OF RELIGIOUS EDUCATION	0141-6200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.316	0.114	0.119	0.481	0.326	0.326
J SCHOLARLY PUBL	JOURNAL OF SCHOLARLY PUBLISHING	1198-9742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.087	0.211	0.146	0.325	0.351	0.351
J CULT ECON	JOURNAL OF CULTURAL ECONOMICS	0885-2545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.345	0.741	0.405	0.32	0.728	0.888	0.888
PSYCHE-Z PSYCHOANAL	PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN	0033-2623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.134	0.057	0.044	0.07	0.174	0.144	0.144
STRUCT CHANGE ECON D	STRUCTURAL CHANGE AND ECONOMIC DYNAMICS	0954-349X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.622	0.418	0.399	0.637	0.902	0.902
INT J OCCUP SAF ERGO	INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS	1080-3548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.185	0.304	0.252	0.389	0.411	0.411
CONTINUUM-J MEDIA CU	CONTINUUM-JOURNAL OF MEDIA & CULTURAL STUDIES	1030-4312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.302	0.185	0.272	0.542	0.765	0.765
INTERV SCH CLIN	INTERVENTION IN SCHOOL AND CLINIC	1053-4512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.161	0.114	0.185	0.358	0.41	0.41
EDUC URBAN SOC	EDUCATION AND URBAN SOCIETY	0013-1245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.292	0.282	0.34	0.404	0.562	0.577	0.577
J TRANSP SAF SECUR	JOURNAL OF TRANSPORTATION SAFETY & SECURITY	1943-9962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.374	0.0	0.41	0.505	0.563	0.563
INT J FEM APPROACHES	INTERNATIONAL JOURNAL OF FEMINIST APPROACHES TO BIOETHICS	1937-4585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.287	0.165	0.159	0.183	0.263	0.316	0.316
PSYCHOANAL HIST	PSYCHOANALYSIS AND HISTORY	1460-8235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.158	0.096	0.165	0.338	0.445	0.445
Q J SPEECH	QUARTERLY JOURNAL OF SPEECH	0033-5630	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168	0.169	0.306	0.171	0.838	0.863	0.863
REV DEV ECON	REVIEW OF DEVELOPMENT ECONOMICS	1363-6669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.304	0.23	0.247	0.25	0.375	0.394	0.394
ARCTIC ANTHROPOL	ARCTIC ANTHROPOLOGY	0066-6939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.133	0.152	0.18	0.244	0.391	0.372	0.372
MUSIC EDUC RES	MUSIC EDUCATION RESEARCH	1461-3808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.177	0.182	0.142	0.099	0.382	0.444	0.444
PSYCHOL FR	PSYCHOLOGIE FRANCAISE	0033-2984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.113	0.115	0.146	0.192	0.147	0.147
ROM J POLIT SCI	ROMANIAN JOURNAL OF POLITICAL SCIENCE	1582-456X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.083	0.052	0.038	0.196	0.057	0.057
JUSTICE SYST J	JUSTICE SYSTEM JOURNAL	0098-261X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.134	0.136	0.183	0.425	0.43	0.43
ECON LABOUR RELAT RE	ECONOMIC AND LABOUR RELATIONS REVIEW	1035-3046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.241	0.201	0.331	0.416	0.782	0.887	0.887
MIDDLE EAST POLICY	MIDDLE EAST POLICY	1061-1924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242	0.258	0.208	0.174	0.331	0.239	0.239
TRANSYLV REV ADM SCI	TRANSYLVANIAN REVIEW OF ADMINISTRATIVE SCIENCES	1842-2845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.044	0.077	0.091	0.2	0.152	0.152
ASIAN-PAC ECON LIT	ASIAN-PACIFIC ECONOMIC LITERATURE	0818-9935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.141	0.169	0.098	0.203	0.169	0.169
HIST FAM	HISTORY OF THE FAMILY	1081-602X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.299	0.208	0.365	0.403	0.819	0.688	0.688
INT J ARTS MANAG	INTERNATIONAL JOURNAL OF ARTS MANAGEMENT	1480-8986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.087	0.104	0.145	0.233	0.239	0.239
J APPL ECON	JOURNAL OF APPLIED ECONOMICS	1514-0326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.292	0.172	0.148	0.299	0.353	0.399	0.399
B ATOM SCI	BULLETIN OF THE ATOMIC SCIENTISTS	0096-3402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.307	0.362	0.334	0.356	0.584	0.655	0.655
J INTERDISCIPL HIST	JOURNAL OF INTERDISCIPLINARY HISTORY	0022-1953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.457	0.436	0.416	0.449	1.115	0.747	0.747
LEXIKOS	LEXIKOS	1684-4904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.148	0.076	0.102	0.237	0.207	0.207
SURV RES METHODS-GER	SURVEY RESEARCH METHODS	1864-3361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.704	1.22	0.642	0.634	0.998	1.978	1.978
AUST J LINGUIST	AUSTRALIAN JOURNAL OF LINGUISTICS	0726-8602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.299	0.256	0.245	0.355	0.551	0.551
BRIT J MIDDLE E STUD	BRITISH JOURNAL OF MIDDLE EASTERN STUDIES	1353-0194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.167	0.233	0.297	0.335	0.712	0.652	0.652
COMMUN CULT CRIT	COMMUNICATION CULTURE & CRITIQUE	1753-9129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.309	0.311	0.327	0.781	1.013	1.013
TEXT TALK	TEXT & TALK	1860-7330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.342	0.239	0.314	0.173	0.314	0.374	0.374
IRISH EDUC STUD	IRISH EDUCATIONAL STUDIES	0332-3315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.228	0.245	0.209	0.193	0.348	0.38	0.38
J KOREA TRADE	JOURNAL OF KOREA TRADE	1229-828X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.02	0.015	0.022	0.054	0.039	0.039
Z SOZIOL	ZEITSCHRIFT FUR SOZIOLOGIE	0340-1804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297	0.312	0.296	0.299	0.557	0.484	0.484
AM J ECON SOCIOL	AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	0002-9246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.216	0.108	0.134	0.149	0.315	0.585	0.585
FAM SOC	FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES	1044-3894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.156	0.244	0.252	0.398	0.382	0.382
PANOECONOMICUS	PANOECONOMICUS	1452-595X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089	0.083	0.124	0.108	0.156	0.188	0.188
NW J INT LAW BUS	NORTHWESTERN JOURNAL OF INTERNATIONAL LAW & BUSINESS	0196-3228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193	0.244	0.306	0.507	0.456	0.456
MOD ASIAN STUD	MODERN ASIAN STUDIES	0026-749X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.303	0.282	0.346	0.366	1.009	0.915	0.915
ARTS HEALTH	ARTS & HEALTH	1753-3015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.238	0.336	0.241	0.46	0.475	0.475
ENGL TEACH-PRACT CRI	ENGLISH TEACHING-PRACTICE AND CRITIQUE	1175-8708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242	0.152	0.139	0.155	0.354	0.445	0.445
MIDDLE EASTERN STUD	MIDDLE EASTERN STUDIES	0026-3206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.196	0.22	0.195	0.166	0.363	0.411	0.411
FED RESERVE BANK ST	FEDERAL RESERVE BANK OF ST LOUIS REVIEW	0014-9187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.377	0.826	0.274	0.498	0.528	0.528
REV ESP PEDAGOG	REVISTA ESPANOLA DE PEDAGOGIA	0034-9461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.044	0.018	0.078	0.347	0.35	0.35
SINTAGMA	SINTAGMA	0214-9141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.104	0.066	0.474	0.17	0.17
ZDRAV VARST	ZDRAVSTVENO VARSTVO	0351-0026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.076	0.222	0.146	0.296	0.283	0.283
EUR J PSYCHIAT	EUROPEAN JOURNAL OF PSYCHIATRY	0213-6163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193	0.206	0.216	0.284	0.285	0.489	0.489
PORTA LINGUARUM	PORTA LINGUARUM	1697-7467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.071	0.088	0.083	0.29	0.43	0.43
BUS HIST REV	BUSINESS HISTORY REVIEW	0007-6805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.463	0.497	0.688	0.541	1.041	1.13	1.13
CONTEMP PSYCHOANAL	CONTEMPORARY PSYCHOANALYSIS	0010-7530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.21	0.214	0.284	0.423	0.251	0.251
J MORAL PHILOS	JOURNAL OF MORAL PHILOSOPHY	1740-4681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.227	0.195	0.295	0.503	0.681	0.681
SERIES-J SPAN ECON	SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION	1869-4187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.368	0.558	0.602	0.429	0.575	0.565	0.565
IRISH POLIT STUD	IRISH POLITICAL STUDIES	0790-7184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.269	0.313	0.269	0.329	0.596	0.541	0.541
